Overall Rating,Type Of Traveller,Seat Type,Arrival City,A Country UV,UVA Coordinates,Departure City,D Country UV,UVD Coordinates,Date Flown
3,Solo Leisure,Economy  ,,,,,,,11/1/2017
3,Solo Leisure,Premium Economy,,,,,,,10/1/2017
6,Solo Leisure,Business  ,,,,,,,1/1/2017
6,Solo Leisure,Business  ,,,,,,,12/1/2016
2,Business,Economy  ,,,,,,,11/1/2017
5,Solo Leisure,Business  ,,,,,,,11/1/2017
8,Family Leisure,Business  ,,,,,,,10/1/2017
2,Business,Business  ,,,,,,,11/1/2017
1,Family Leisure,Economy  ,,,,,,,10/1/2017
2,Business,Economy  ,,,,,,,8/1/2017
6,Couple Leisure,Business  ,,,,,,,11/1/2017
3,Business,Business  ,,,,,,,11/1/2017
1,Couple Leisure,Business  ,,,,,,,10/1/2017
1,Couple Leisure,Business  ,,,,,,,10/1/2017
1,Family Leisure,Business  ,,,,,,,10/1/2017
1,Business,Economy  ,,,,,,,11/1/2017
1,Couple Leisure,Economy  ,,,,,,,11/1/2017
1,Solo Leisure,Economy  ,,,,,,,11/1/2017
5,Couple Leisure,Economy  ,,,,,,,11/1/2017
2,Business,Business  ,,,,,,,10/1/2017
8,Couple Leisure,Business  ,,,,,,,10/1/2017
2,Solo Leisure,Premium Economy,,,,,,,9/1/2017
3,Solo Leisure,Economy  ,,,,,,,10/1/2017
3,Business,Business  ,,,,,,,10/1/2017
5,Business,First  ,,,,,,,10/1/2017
1,Couple Leisure,Economy  ,,,,,,,10/1/2017
8,Solo Leisure,Economy  ,,,,,,,7/1/2017
7,Solo Leisure,Economy  ,,,,,,,10/1/2017
1,Couple Leisure,Business  ,,,,,,,10/1/2017
3,Couple Leisure,Economy  ,,,,,,,10/1/2017
7,Solo Leisure,Business  ,,,,,,,10/1/2017
3,Family Leisure,Economy  ,,,,,,,9/1/2017
4,Solo Leisure,Economy  ,,,,,,,10/1/2017
4,Business,Economy  ,,,,,,,10/1/2017
2,Business,Economy  ,,,,,,,10/1/2017
7,Couple Leisure,Economy  ,,,,,,,10/1/2017
5,Couple Leisure,Economy  ,,,,,,,9/1/2017
2,Couple Leisure,Business  ,,,,,,,10/1/2017
1,Business,First  ,,,,,,,9/1/2017
9,Family Leisure,Economy  ,,,,,,,9/1/2017
7,Solo Leisure,Business  ,,,,,,,10/1/2017
2,Solo Leisure,Economy  ,,,,,,,10/1/2017
2,Business,Economy  ,,,,,,,10/1/2017
3,Solo Leisure,Economy  ,,,,,,,10/1/2017
7,Couple Leisure,Economy  ,,,,,,,10/1/2017
10,Family Leisure,Business  ,,,,,,,10/1/2017
10,Family Leisure,Business  ,,,,,,,10/1/2017
1,Business,Economy  ,,,,,,,10/1/2017
3,Couple Leisure,Business  ,,,,,,,9/1/2017
2,Solo Leisure,Premium Economy,,,,,,,8/1/2017
8,Solo Leisure,Business  ,,,,,,,10/1/2017
3,Business,Economy  ,,,,,,,10/1/2017
1,Solo Leisure,Economy  ,,,,,,,9/1/2017
4,Solo Leisure,Economy  ,,,,,,,9/1/2017
2,Couple Leisure,Economy  ,,,,,,,9/1/2017
5,Couple Leisure,Economy  ,,,,,,,10/1/2017
2,Couple Leisure,Business  ,,,,,,,10/1/2017
10,Family Leisure,Economy  ,,,,,,,9/1/2017
6,Solo Leisure,Economy  ,,,,,,,10/1/2017
6,Business,Business  ,,,,,,,10/1/2017
2,Couple Leisure,Economy  ,,,,,,,8/1/2017
7,Business,Premium Economy,,,,,,,9/1/2017
6,Solo Leisure,Economy  ,,,,,,,9/1/2017
4,Business,Economy  ,,,,,,,9/1/2017
6,Solo Leisure,Economy  ,,,,,,,9/1/2017
1,Business,Business  ,,,,,,,9/1/2017
3,Couple Leisure,Business  ,,,,,,,9/1/2017
3,Business,Business  ,,,,,,,9/1/2017
9,Business,Economy  ,,,,,,,9/1/2017
1,Business,First  ,,,,,,,8/1/2017
7,Couple Leisure,Economy  ,,,,,,,9/1/2017
7,Couple Leisure,Economy  ,,,,,,,9/1/2017
4,Couple Leisure,Economy  ,,,,,,,9/1/2017
9,Couple Leisure,Economy  ,,,,,,,9/1/2017
10,Solo Leisure,Economy  ,,,,,,,9/1/2017
8,Solo Leisure,Economy  ,,,,,,,9/1/2017
6,Solo Leisure,Economy  ,,,,,,,9/1/2017
5,Couple Leisure,Business  ,,,,,,,9/1/2017
3,Business,Economy  ,,,,,,,9/1/2017
3,Business,Economy  ,,,,,,,9/1/2017
2,Business,Economy  ,,,,,,,9/1/2017
6,Solo Leisure,Premium Economy,,,,,,,9/1/2017
1,Family Leisure,Economy  ,,,,,,,9/1/2017
6,Couple Leisure,Business  ,,,,,,,9/1/2017
4,Couple Leisure,Business  ,,,,,,,9/1/2017
3,Business,Business  ,,,,,,,9/1/2017
9,Couple Leisure,Economy  ,,,,,,,9/1/2017
2,Couple Leisure,Economy  ,,,,,,,9/1/2017
8,Family Leisure,Business  ,,,,,,,9/1/2017
8,Business,Economy  ,,,,,,,9/1/2017
8,Business,Business  ,,,,,,,9/1/2017
9,Family Leisure,Business  ,,,,,,,8/1/2017
8,Family Leisure,Economy  ,,,,,,,8/1/2017
6,Business,Economy  ,,,,,,,8/1/2017
1,Business,Business  ,,,,,,,8/1/2017
1,Solo Leisure,Business  ,,,,,,,9/1/2017
1,Solo Leisure,Economy  ,,,,,,,9/1/2017
3,Couple Leisure,Business  ,,,,,,,8/1/2017
4,Business,Economy  ,,,,,,,8/1/2017
